code	location	store_name	product_ean
HR	Europe/Zagreb	Split	3618641987900
CN	Asia/Shanghai	Heyuan	0890698872559
NL	Europe/Amsterdam	Barneveld	2447491624236
MX	America/Mexico_City	Tuxtla	2920947188549
US	America/New_York	Sun City Center	4869841703558
US	America/New_York	Utica	6748880918926
ES	Europe/Madrid	Jumilla	1721016482367
FR	Europe/Paris	Saint-Genis-Laval	2138647579967
ID	Asia/Jakarta	Simpang	9328052059847
RU	Europe/Moscow	Malakhovka	1363466969304
IT	Europe/Rome	Afragola	0671237671983
US	America/Los_Angeles	Troutdale	6505771550173
IN	Asia/Kolkata	Elamanchili	0364177599034
MX	America/Mexico_City	Oaxaca	1344951944402
IN	Asia/Kolkata	Jais	1063347123282
CN	Asia/Shanghai	Changzhi	5076475401845
MX	America/Merida	Progreso	1071370616909
LK	Asia/Colombo	Dehiwala-Mount Lavinia	8768436667762
IT	Europe/Rome	Campobasso	8241239885842
ML	Africa/Bamako	Kati	9806308024486
UZ	Asia/Tashkent	Andijon	4038856029896
AR	America/Argentina/Cordoba	Esperanza	5206926797856
DE	Europe/Berlin	Wesseling	2164924900285
MX	America/Mexico_City	Tuxtla	0005296441728
AZ	Asia/Baku	Qazax	7888122090993
ID	Asia/Jakarta	Cibinong	1956763534612
RU	Europe/Moscow	Severodvinsk	6175301487677
US	America/Denver	Kearns	1401120742525
PK	Asia/Karachi	Naushahra Virkan	8028239505679
AU	Australia/Brisbane	Maryborough	8455357449453
PK	Asia/Karachi	Sillanwali	6588926864325
FI	Europe/Helsinki	Kallio	9978497888498
SV	America/El_Salvador	Sonzacate	3890575508042
UZ	Asia/Tashkent	Andijon	7227774856470
US	America/Los_Angeles	Bothell	5719005134744
LT	Europe/Vilnius	Ukmerge	6692378733129
GB	Europe/London	Gainsborough	7067621223938
LT	Europe/Vilnius	Alytus	4168838706030
BR	America/Sao_Paulo	Caldas Novas	1160917081468
NL	Europe/Amsterdam	Losser	0784357497675
US	America/New_York	Lexington	9935401082182
DE	Europe/Berlin	Oberhausen	2839383080013
TZ	Africa/Dar_es_Salaam	Chanika	6127735782637
FR	Europe/Paris	Les Olives	7989619143373
DE	Europe/Berlin	Gauting	2082606067678
NG	Africa/Lagos	Lagos	1278666203540
IR	Asia/Tehran	Nowshahr	0781677998806
CN	Asia/Shanghai	Pucheng	3543860540295
BR	America/Sao_Paulo	Soledade	3067705517254
SD	Africa/Khartoum	Ar Ruseris	9132281657183
DZ	Africa/Algiers	Messaad	2292740604510
IT	Europe/Rome	Perugia	8373969201712
RU	Asia/Vladivostok	Lesozavodsk	4051669722587
MX	America/Mexico_City	Guanajuato	4730337233425
UZ	Asia/Samarkand	Jizzax	1993906553369
CN	Asia/Shanghai	Longgang	8881846181205
TH	Asia/Bangkok	Tak Bai	9092275933177
US	America/Los_Angeles	Claremont	3567014346595
MG	Indian/Antananarivo	Ikalamavony	2531731949156
US	America/New_York	Malden	7170645053396
US	America/Los_Angeles	San Gabriel	2013107327015
CD	Africa/Lubumbashi	Kamina	9050545701482
AU	Australia/Sydney	Baulkham Hills	2760002232707
TZ	Africa/Dar_es_Salaam	Same	3431104953652
RU	Europe/Moscow	Volokolamsk	4530833403779
GB	Europe/London	Hartley	3523533189686
RO	Europe/Bucharest	Sector 6	8214267356585
FR	Europe/Paris	Vienne	8767319494914
GH	Africa/Accra	Mampong	6218082349311
SL	Africa/Freetown	Freetown	1006195791364
CN	Asia/Shanghai	Xinzhou	5589533201825
IT	Europe/Rome	Misterbianco	1640913982193
GB	Europe/London	East Dereham	6880536662996
IN	Asia/Kolkata	Osmanabad	3479323105841
US	America/New_York	Punta Gorda Isles	6752541529550
JP	Asia/Tokyo	Ueno-ebisumachi	5194408616675
TR	Europe/Istanbul	Gaziantep	9194621784768
CA	America/Toronto	Pointe-Claire	7244359440671
US	America/Chicago	South Lawndale	8371373624479
US	America/Chicago	Greenville	4733020482339
US	America/Los_Angeles	Redding	1247815316745
FR	Europe/Paris	Le Chesnay	3005914649380
US	America/New_York	Dublin	4267307626166
NE	Africa/Niamey	Mirriah	2555136809266
US	America/Los_Angeles	San Gabriel	2852216454485
ES	Europe/Madrid	Puertollano	5839176348709
PK	Asia/Karachi	Kanganpur	2772489654828
BR	America/Recife	Catende	1557583453246
GB	Europe/London	Clacton-on-Sea	7131613414984
IR	Asia/Tehran	Isfahan	9233432712413
FR	Europe/Paris	Bar-le-Duc	5743795876096
BD	Asia/Dhaka	Manikchari	5393420280738
US	America/New_York	Malden	4571762850395
GB	Europe/London	Cowes	6056846717125
IN	Asia/Kolkata	Aistala	3052131612611
