pct_wild_mouse	screen_height	pct_input	pct_scrandom	pct_scroll_move	pct_click_product_info	wild_mouse_duration	session_start	total_load_time	pct_click	screen_width	pct_doubleclick	product_ean	pct_mouse_move	user_id	session_id	pct_scroll_move_duration	ack	scroll_move_total_rel_distance	page_activity_duration	mouse_move_total_rel_distance	browser_name	pct_rage_click	session_duration	pct_mouse_click
33.93175	600	2.02433	47.57172	77.67966	50.06169	16.15405	2022-04-16 18:13:19	3.66109	15.21849	1366	14.18648	5609559835511	19.87957	152	341891	17.64845	0.00000	13.31028	15.50704	16.78128	safari	73.88232	93.50794	
35.01962	768	2.73613	44.98978	40.38256	53.78582	16.44725	2022-09-07 09:34:07	3.06183	17.79744	1280	14.24740	2783505207584	21.94549	1913	1302699	16.90542	1.00000	18.33657	15.76245	16.67535	firefox	36.27018	83.05534	15.63971
61.41151	800	2.30551	56.16179	29.32719	61.74431	16.28032	2022-08-01 19:22:50	4.30491	16.56530	1280	12.61965	3645987904469	16.59446	633	1346090	20.42301	1.00000	7.24767	15.94806	17.84916	opera	44.07316	212.16973	13.54653
44.86510	600	4.67376	51.02882	57.35852	44.10727	16.97307	2020-03-28 06:00:21	2.66177	14.10738	1920	12.21310	9680009745563	19.82117	1138	320000	19.13251	0.00000	9.27093	17.21545	15.85436	edge	61.91555	62.13615	14.83673
61.66559	800	6.29241	33.35663	50.05876	36.03935	17.26692	2023-02-12 18:25:13	3.67287	19.04736	1024	14.85078	7348230059720	18.36047	2035	291366	13.65667	0.00000	19.71573	17.01892	16.65385	chrome	21.36066	157.60814	15.17088
35.81009	600	2.36029	52.88804	41.92027	26.40809	16.30315	2022-02-27 00:11:14	4.84025	18.15831	1280	14.87671	3412325693473	19.06869	458	700982	14.09300	0.00000	19.39969	17.09763	17.73656	chrome	64.38824	96.61854	15.15804
58.37440	600	5.08067	14.55833	53.42821	34.82927	17.05545	2020-11-08 17:22:15	1.10845	15.16720	800	16.18382	0027910583386	15.00925	2352	246617	17.81219	0.00000	10.70687	16.67955	16.40206	edge	46.33480	169.09719	13.71011
50.50972	1024	5.35826	52.03721	61.06214	80.59643	17.10797	2022-12-06 11:13:50	3.92256	18.11636	1920	14.78950	9203531426832	16.67959	590	1099948	14.73438	0.00000	17.86892	17.16940	19.86812	safari	44.46773	238.32546	15.57142
32.52996	600	12.12986	54.81203	61.82408	64.69809	17.91834	2021-08-30 00:09:04	6.78770	17.07278	800	14.31278	3360105363873	16.96128	1177	876217	15.01534	0.00000	14.88773	14.87638	18.71016	safari	59.81557	149.15499	14.04178
61.25856	1080	16.69970	39.92808	87.43615	62.76877	18.23659	2019-05-21 03:25:15	1.89860	13.65409	1280	16.57694	9382585406745	17.60148	325	1314455	17.47752	0.00000	12.35083	16.55871	14.71817	mobile	35.83174	153.91379	14.34053
64.14309	lower	5.07186	49.59295	51.55782	49.12249	17.05369	2020-07-21 01:54:56	4.53896	17.80077	1280	15.86453	7750930018912	13.14336	2243	367119	16.15960	1.00000	12.60755	16.64821	18.79785	edge	64.20298	93.66595	13.35018
29.58467	600	1.69524	57.27000	54.42772	67.60681	15.98255	2023-06-02 00:41:36	6.26563	20.16274	800	15.83932	8236753965095	20.50281	2334	692366	14.31340	1.00000	25.78335	16.54141	18.02996	firefox	46.20890	86.34928	18.38007
45.22319	800	0.46189	61.35347	51.00657	48.18661	14.77608	2023-08-28 23:12:27	1.09330	15.98224	1024	12.12179	7609176280310	12.79763	2421	1233654	13.62626	1.00000	12.06189	15.28893	17.54629	edge	45.44223	25.06638	16.15763
48.79362	1024	4.27948	43.39875	51.74355	70.37810	16.88618	2021-01-06 04:17:41	3.69387	19.50382	1024	14.10448	8652286062467	17.52434	1844	1259618	11.11067	0.00000	26.02007	15.20054	19.59440	safari	45.76205	221.84854	19.81986
